Easting,Northing,Elevation,Code,source,Point_ID
641194.085,4237783.061,4.255,XS67A_BANKTOP,"Nichols, Whipple, Laird 2014",4001_4000_stk
641192.391,4237784.366,3.62,XS67A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4001_4000_stk1
641189.746,4237786.494,3.271,XS67A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4001_4000_stk2
641188.327,4237787.640,2.475,XS67A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4001_4000_stk3
641184.556,4237790.643,1.846,XS67A_BANKTOE,"Nichols, Whipple, Laird 2014",4001_4000_stk4
641184.078,4237791.030,1.535,XS67A_BED,"Nichols, Whipple, Laird 2014",4001_4000_stk5
641183.262,4237791.683,1.359,XS67A_BED,"Nichols, Whipple, Laird 2014",4001_4000_stk6
641182.026,4237792.673,1.255,XS67A_BED,"Nichols, Whipple, Laird 2014",4001_4000_stk7
641180.771,4237793.675,1.221,XS67A_BED,"Nichols, Whipple, Laird 2014",4001_4000_stk8
641179.752,4237794.479,1.32,XS67A_BED,"Nichols, Whipple, Laird 2014",4001_4000_stk9
641177.451,4237796.355,1.682,XS67A_BED,"Nichols, Whipple, Laird 2014",4001_4000_stk10
641176.709,4237796.935,1.545,XS67A_BED,"Nichols, Whipple, Laird 2014",4001_4000_stk11
641176.162,4237797.342,1.625,XS67A_BANKTOE,"Nichols, Whipple, Laird 2014",4001_4000_stk12
641173.610,4237799.431,2.586,XS67A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4001_4000_stk13
641172.437,4237800.370,2.892,XS67A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4001_4000_stk14
641170.650,4237801.782,3.991,XS67A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4001_4000_stk15
641168.439,4237803.575,4.677,XS67A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4001_4000_stk16
641167.524,4237804.262,4.991,XS67A_BANKTOP,"Nichols, Whipple, Laird 2014",4001_4000_stk17
641212.748,4237787.703,5.499,XS67B_BANKTOP,"Nichols, Whipple, Laird 2014",4003_4002_stk
641211.455,4237789.818,4.153,XS67B_BANKSLOPE,"Nichols, Whipple, Laird 2014",4003_4002_stk1
641210.068,4237792.057,3.719,XS67B_BANKSLOPE,"Nichols, Whipple, Laird 2014",4003_4002_stk2
641208.820,4237794.134,2.937,XS67B_BANKSLOPE,"Nichols, Whipple, Laird 2014",4003_4002_stk3
641206.425,4237798.003,3.228,XS67B_BANKSLOPE,"Nichols, Whipple, Laird 2014",4003_4002_stk4
641205.172,4237800.032,3.581,XS67B_BANKSLOPE,"Nichols, Whipple, Laird 2014",4003_4002_stk5
641204.813,4237800.646,2.956,XS67B_BANKSLOPE,"Nichols, Whipple, Laird 2014",4003_4002_stk6
641203.716,4237802.403,2.164,XS67B_BANKTOE,"Nichols, Whipple, Laird 2014",4003_4002_stk7
641202.245,4237804.807,1.858,XS67B_BED,"Nichols, Whipple, Laird 2014",4003_4002_stk8
641201.874,4237805.414,1.621,XS67B_BED,"Nichols, Whipple, Laird 2014",4003_4002_stk9
641201.524,4237806.006,1.499,XS67B_BED,"Nichols, Whipple, Laird 2014",4003_4002_stk10
641200.223,4237808.097,1.609,XS67B_BED,"Nichols, Whipple, Laird 2014",4003_4002_stk11
641199.904,4237808.626,1.828,XS67B_BED,"Nichols, Whipple, Laird 2014",4003_4002_stk12
641197.275,4237812.916,1.698,XS67B_BED,"Nichols, Whipple, Laird 2014",4003_4002_stk13
641196.998,4237813.336,1.88,XS67B_BANKTOE,"Nichols, Whipple, Laird 2014",4003_4002_stk14
641195.217,4237816.211,2.503,XS67B_BANKSLOPE,"Nichols, Whipple, Laird 2014",4003_4002_stk15
641192.330,4237820.820,4.751,XS67B_BANKTOP,"Nichols, Whipple, Laird 2014",4003_4002_stk16
641406.771,4237905.267,4.897,XS65A_BANKTOP,"Nichols, Whipple, Laird 2014",4005_4004_stk
641403.641,4237907.528,3.294,XS65A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4005_4004_stk1
641402.992,4237907.996,2.826,XS65A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4005_4004_stk2
641401.085,4237909.405,2.005,XS65A_BANKTOE,"Nichols, Whipple, Laird 2014",4005_4004_stk3
641397.780,4237911.816,1.541,XS65A_BED,"Nichols, Whipple, Laird 2014",4005_4004_stk4
641396.495,4237912.766,1.429,XS65A_BED,"Nichols, Whipple, Laird 2014",4005_4004_stk5
641395.573,4237913.423,1.478,XS65A_BED,"Nichols, Whipple, Laird 2014",4005_4004_stk6
641394.052,4237914.521,1.349,XS65A_BED,"Nichols, Whipple, Laird 2014",4005_4004_stk7
641390.947,4237916.804,1.52,XS65A_BED,"Nichols, Whipple, Laird 2014",4005_4004_stk8
641388.402,4237918.637,1.555,XS65A_BANKTOE,"Nichols, Whipple, Laird 2014",4005_4004_stk9
641387.052,4237919.657,2.299,XS65A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4005_4004_stk10
641384.891,4237921.173,3.997,XS65A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4005_4004_stk11
641384.155,4237921.751,4.943,XS65A_BANKTOP,"Nichols, Whipple, Laird 2014",4005_4004_stk12
641758.026,4238321.913,5.802,XS59_BANKTOP,"Nichols, Whipple, Laird 2014",1116_1117_stk
641756.532,4238322.242,5.397,XS59_BANKTOP,"Nichols, Whipple, Laird 2014",1116_1117_stk1
641753.886,4238322.903,2.89,XS59_BANKSLOPE,"Nichols, Whipple, Laird 2014",1116_1117_stk2
641752.370,4238323.224,2.263,XS59_BANKTOE,"Nichols, Whipple, Laird 2014",1116_1117_stk3
641751.530,4238323.430,1.937,XS59_BED,"Nichols, Whipple, Laird 2014",1116_1117_stk4
641750.512,4238323.670,1.843,XS59_BED,"Nichols, Whipple, Laird 2014",1116_1117_stk5
641749.130,4238323.980,1.898,XS59_BED,"Nichols, Whipple, Laird 2014",1116_1117_stk6
641748.128,4238324.232,2.018,XS59_BANKTOE,"Nichols, Whipple, Laird 2014",1116_1117_stk7
641745.998,4238324.744,2.72,XS59_BANKSLOPE,"Nichols, Whipple, Laird 2014",1116_1117_stk8
641744.536,4238325.056,3.118,XS59_BANKSLOPE,"Nichols, Whipple, Laird 2014",1116_1117_stk9
641743.212,4238325.361,3.682,XS59_BANKSLOPE,"Nichols, Whipple, Laird 2014",1116_1117_stk10
641742.083,4238325.649,4.236,XS59_BANKSLOPE,"Nichols, Whipple, Laird 2014",1116_1117_stk11
641739.146,4238326.326,5.203,XS59_BANKTOP,"Nichols, Whipple, Laird 2014",1116_1117_stk12
641736.688,4238326.911,5.62,XS59_BANKTOP,"Nichols, Whipple, Laird 2014",1116_1117_stk13
641543.346,4238134.517,5.247,XS62A_BANKTOP,"Nichols, Whipple, Laird 2014",4007_4006_stk
641542.566,4238135.543,3.93,XS62A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4007_4006_stk1
641541.078,4238137.528,2.155,XS62A_BANKSLOPE,"Nichols, Whipple, Laird 2014",4007_4006_stk2
641540.671,4238138.015,1.867,XS62A_BANKTOE,"Nichols, Whipple, Laird 2014",4007_4006_stk3
641540.204,4238138.653,1.691,XS62A_BED,"Nichols, Whipple, Laird 2014",4007_4006_stk4
641537.598,4238142.134,1.317,XS62A_BED,"Nichols, Whipple, Laird 2014",4007_4006_stk5
641535.588,4238144.819,1.02,XS62A_BED,"Nichols, Whipple, Laird 2014",4007_4006_stk6
641532.696,4238148.671,1.566,XS62A_BANKTOE,"Nichols, Whipple, Laird 2014",4007_4006_stk7
641529.061,4238153.443,5.508,XS62A_BANKTOP,"Nichols, Whipple, Laird 2014",4007_4006_stk8
641441.872,4240487.451,7.323,XS42A_TOPBANK,"Nichols, Whipple, Laird 2014",2000_2001_stk
641437.847,4240488.100,3.852,XS42A_BANKTOE,"Nichols, Whipple, Laird 2014",2000_2001_stk1
641431.887,4240490.154,3.45,XS42A_BED,"Nichols, Whipple, Laird 2014",2000_2001_stk2
641424.437,4240492.192,3.686,XS42A_BED,"Nichols, Whipple, Laird 2014",2000_2001_stk3
641415.482,4240494.354,3.521,XS42A_BANKTOE,"Nichols, Whipple, Laird 2014",2000_2001_stk4
641413.850,4240494.801,4.501,XS42A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2000_2001_stk5
641411.287,4240495.480,6.867,XS42A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2000_2001_stk6
641409.709,4240495.913,8.718,XS42A_TOPBANK,"Nichols, Whipple, Laird 2014",2000_2001_stk7
641430.729,4240290.011,5.753,XS44A_BANK,"Nichols, Whipple, Laird 2014",2003_2002_stk
641429.066,4240288.713,5.767,XS44A_BANKTOP,"Nichols, Whipple, Laird 2014",2003_2002_stk1
641426.787,4240286.898,3.638,XS44A_BANKTOE,"Nichols, Whipple, Laird 2014",2003_2002_stk2
641422.104,4240282.953,3.377,XS44A_BED,"Nichols, Whipple, Laird 2014",2003_2002_stk3
641418.127,4240279.668,3.087,XS44A_BED,"Nichols, Whipple, Laird 2014",2003_2002_stk4
641415.235,4240276.719,2.896,XS44A_BANKTOE,"Nichols, Whipple, Laird 2014",2003_2002_stk5
641410.350,4240273.216,7.722,XS44A_BANKTOP,"Nichols, Whipple, Laird 2014",2003_2002_stk6
641573.584,4240043.518,7.454,XS47A_BANK,"Nichols, Whipple, Laird 2014",2005_2004_stk
641573.275,4240043.375,7.116,XS47A_BANKTOP,"Nichols, Whipple, Laird 2014",2005_2004_stk1
641566.509,4240042.242,3.881,XS47A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2005_2004_stk2
641565.270,4240041.841,3.018,XS47A_BANKTOE,"Nichols, Whipple, Laird 2014",2005_2004_stk3
641556.933,4240039.915,2.999,XS47A_BED,"Nichols, Whipple, Laird 2014",2005_2004_stk4
641551.254,4240039.155,2.826,XS47A_BANKTOE,"Nichols, Whipple, Laird 2014",2005_2004_stk5
641548.060,4240038.391,4.362,XS47A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2005_2004_stk6
641545.772,4240038.275,6.988,XS47A_BANKTOP,"Nichols, Whipple, Laird 2014",2005_2004_stk7
641544.422,4240038.033,7.424,XS47A_BANK,"Nichols, Whipple, Laird 2014",2005_2004_stk8
641667.005,4239853.015,7.36,XS49A_BANKTOP,"Nichols, Whipple, Laird 2014",2007_2006_stk
641665.841,4239852.522,6.177,XS49A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2007_2006_stk1
641663.999,4239852.272,4.263,XS49A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2007_2006_stk2
641662.607,4239851.935,3.793,XS49A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2007_2006_stk3
641661.385,4239851.843,2.618,XS49A_BANKTOE,"Nichols, Whipple, Laird 2014",2007_2006_stk4
641658.838,4239851.471,2.928,XS49A_BED,"Nichols, Whipple, Laird 2014",2007_2006_stk5
641653.063,4239850.449,2.968,XS49A_BED,"Nichols, Whipple, Laird 2014",2007_2006_stk6
641648.038,4239849.513,3.069,XS49A_BANKTOE,"Nichols, Whipple, Laird 2014",2007_2006_stk7
641646.142,4239849.055,4.28,XS49A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2007_2006_stk8
641643.858,4239848.681,5.149,XS49A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2007_2006_stk9
641642.286,4239848.447,6.276,XS49A_BANKTOE,"Nichols, Whipple, Laird 2014",2007_2006_stk10
641709.096,4239709.846,6.671,XS50A_BANKTOP,"Nichols, Whipple, Laird 2014",2009_2008_stk
641707.158,4239710.039,3.508,XS50A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2009_2008_stk1
641705.870,4239710.126,2.839,XS50A_BANKTOE,"Nichols, Whipple, Laird 2014",2009_2008_stk2
641700.015,4239710.391,2.851,XS50A_BED,"Nichols, Whipple, Laird 2014",2009_2008_stk3
641695.556,4239710.689,2.9,XS50A_BED,"Nichols, Whipple, Laird 2014",2009_2008_stk4
641690.432,4239711.103,3.006,XS50A_BANKTOE,"Nichols, Whipple, Laird 2014",2009_2008_stk5
641688.338,4239711.182,3.69,XS50A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2009_2008_stk6
641685.496,4239711.330,6.65,XS50A_BANKTOP,"Nichols, Whipple, Laird 2014",2009_2008_stk7
641696.203,4239546.853,6.529,XS52A_BANKTOP,"Nichols, Whipple, Laird 2014",2011_2010_stk
641693.157,4239547.213,2.961,XS52A_BANKTOE,"Nichols, Whipple, Laird 2014",2011_2010_stk1
641688.930,4239547.448,2.879,XS52A_BED,"Nichols, Whipple, Laird 2014",2011_2010_stk2
641687.572,4239547.634,2.603,XS52A_BED,"Nichols, Whipple, Laird 2014",2011_2010_stk3
641679.267,4239548.195,2.187,XS52A_BANKTOE,"Nichols, Whipple, Laird 2014",2011_2010_stk4
641676.819,4239548.329,2.932,XS52A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2011_2010_stk5
641675.722,4239548.506,3.095,XS52A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2011_2010_stk6
641672.805,4239548.712,6.387,XS52A_BANKTOP,"Nichols, Whipple, Laird 2014",2011_2010_stk7
641652.854,4239412.455,6.663,XS57A_BANKTOP,"Nichols, Whipple, Laird 2014",2013_2012_stk
641650.214,4239413.371,2.67,XS57A_BANKTOE,"Nichols, Whipple, Laird 2014",2013_2012_stk1
641644.977,4239415.172,2.573,XS57A_BED,"Nichols, Whipple, Laird 2014",2013_2012_stk2
641750.599,4239377.679,6.438,XS54A_BANKTOP,"Nichols, Whipple, Laird 2014",2015_2014_stk
641748.932,4239379.586,2.474,XS54A_BANKTOE,"Nichols, Whipple, Laird 2014",2015_2014_stk1
641746.743,4239382.400,3.022,XS54A_BED,"Nichols, Whipple, Laird 2014",2015_2014_stk2
641744.289,4239385.258,2.944,XS54A_BANKTOE,"Nichols, Whipple, Laird 2014",2015_2014_stk3
641742.082,4239387.859,4.529,XS54A_BANK,"Nichols, Whipple, Laird 2014",2015_2014_stk4
641740.143,4239390.373,5.667,XS54A_BANK,"Nichols, Whipple, Laird 2014",2015_2014_stk5
641739.807,4239390.732,6.401,XS54A_BANKTOP,"Nichols, Whipple, Laird 2014",2015_2014_stk6
641735.218,4239511.610,6.627,XS53A_BANKTOP,"Nichols, Whipple, Laird 2014",2017_2016_stk
641734.416,4239510.822,5.936,XS53A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2017_2016_stk1
641733.528,4239509.984,4.502,XS53A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2017_2016_stk2
641731.072,4239507.383,2.958,XS53A_BANKTOE,"Nichols, Whipple, Laird 2014",2017_2016_stk3
641728.787,4239505.026,2.582,XS53A_BED,"Nichols, Whipple, Laird 2014",2017_2016_stk4
641727.378,4239503.637,3.046,XS53A_BED,"Nichols, Whipple, Laird 2014",2017_2016_stk5
641723.704,4239499.795,3.543,XS53A_BANKTOE,"Nichols, Whipple, Laird 2014",2017_2016_stk6
641722.200,4239498.285,4.606,XS53A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2017_2016_stk7
641720.780,4239496.811,6.481,XS53A_BANKTOP,"Nichols, Whipple, Laird 2014",2017_2016_stk8
641753.168,4239330.003,6.515,XS55A_BANKTOP,"Nichols, Whipple, Laird 2014",2019_2018_stk
641750.188,4239330.009,5.501,XS55A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2019_2018_stk1
641747.337,4239329.978,5.451,XS55A_BANKSLOPE,"Nichols, Whipple, Laird 2014",2019_2018_stk2
641736.040,4239357.259,5.819,XS55B_BANKTOP,"Nichols, Whipple, Laird 2014",2021_2020_stk
641616.464,4240800.029,7.872,XS38A_BANK,"Nichols, Whipple, Laird 2014",3001_3000_stk
641614.976,4240800.920,7.626,XS38A_BANKTOP,"Nichols, Whipple, Laird 2014",3001_3000_stk1
641610.137,4240804.249,3.643,XS38A_BANKTOE,"Nichols, Whipple, Laird 2014",3001_3000_stk2
641606.826,4240805.980,3.848,XS38A_BED,"Nichols, Whipple, Laird 2014",3001_3000_stk3
641602.584,4240808.731,3.724,XS38A_BED,"Nichols, Whipple, Laird 2014",3001_3000_stk4
641597.553,4240811.764,3.51,XS38A_BED,"Nichols, Whipple, Laird 2014",3001_3000_stk5
641591.916,4240814.361,3.689,XS38A_BANKTOE,"Nichols, Whipple, Laird 2014",3001_3000_stk6
641589.010,4240817.188,7.4,XS38A_BANKTOP,"Nichols, Whipple, Laird 2014",3001_3000_stk7
641486.711,4240590.107,7.19,XS40A_BANKTOP,"Nichols, Whipple, Laird 2014",3003_3002_stk
641484.352,4240593.156,3.47,XS40A_BANKTOE,"Nichols, Whipple, Laird 2014",3003_3002_stk1
641481.660,4240596.323,3.337,XS40A_BED,"Nichols, Whipple, Laird 2014",3003_3002_stk2
641477.917,4240600.774,3.568,XS40A_BED,"Nichols, Whipple, Laird 2014",3003_3002_stk3
641474.912,4240604.995,4.678,XS40A_BANKTOE,"Nichols, Whipple, Laird 2014",3003_3002_stk4
641472.179,4240608.063,7.421,XS40A_BANKTOP,"Nichols, Whipple, Laird 2014",3003_3002_stk5
641681.423,4239496.107,6.512,XS56A_BANK,"Nichols, Whipple, Laird 2014",3005_3004_stk
641680.736,4239496.342,6.452,XS56A_BANKTOP,"Nichols, Whipple, Laird 2014",3005_3004_stk1
641679.642,4239496.823,3.496,XS56A_BANKTOE,"Nichols, Whipple, Laird 2014",3005_3004_stk2
641676.223,4239498.203,2.778,XS56A_BED,"Nichols, Whipple, Laird 2014",3005_3004_stk3
641673.077,4239499.472,2.653,XS56A_BED,"Nichols, Whipple, Laird 2014",3005_3004_stk4
641670.205,4239500.677,2.656,XS56A_BED,"Nichols, Whipple, Laird 2014",3005_3004_stk5
641668.123,4239501.513,2.947,XS56A_BANKTOE,"Nichols, Whipple, Laird 2014",3005_3004_stk6
641666.811,4239502.005,4.048,XS56A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3005_3004_stk7
641665.440,4239502.578,5.041,XS56A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3005_3004_stk8
641664.620,4239503.021,6.262,XS56A_BANKTOP,"Nichols, Whipple, Laird 2014",3005_3004_stk9
641641.495,4239371.834,2.656,XS56A_BANKTOE,"Nichols, Whipple, Laird 2014",3007_3006_stk
641634.327,4239373.108,2.598,XS57B_BED,"Nichols, Whipple, Laird 2014",3007_3006_stk1
641628.289,4239374.065,3.274,XS57B_BANKTOE,"Nichols, Whipple, Laird 2014",3007_3006_stk2
641626.222,4239374.350,6.455,XS57B_BANKTOP,"Nichols, Whipple, Laird 2014",3007_3006_stk3
641144.854,4237785.970,4.115,XS68A_BANK,"Nichols, Whipple, Laird 2014",3011_3010_stk
641146.791,4237788.076,3.742,XS68A_BANKTOP,"Nichols, Whipple, Laird 2014",3011_3010_stk1
641147.518,4237788.973,1.978,XS68A_BANKTOE,"Nichols, Whipple, Laird 2014",3011_3010_stk2
641148.102,4237789.677,1.706,XS68A_BED,"Nichols, Whipple, Laird 2014",3011_3010_stk3
641149.199,4237790.840,1.533, ,"Nichols, Whipple, Laird 2014",3011_3010_stk4
641150.497,4237792.245,1.414, ,"Nichols, Whipple, Laird 2014",3011_3010_stk5
641151.625,4237793.579,1.475,XS68A_BED,"Nichols, Whipple, Laird 2014",3011_3010_stk6
641152.542,4237794.513,1.449,XS68A_BED,"Nichols, Whipple, Laird 2014",3011_3010_stk7
641153.809,4237796.056,1.46,XS68A_BED,"Nichols, Whipple, Laird 2014",3011_3010_stk8
641155.236,4237797.615,1.329,XS68A_BED,"Nichols, Whipple, Laird 2014",3011_3010_stk9
641156.297,4237798.824,1.726,XS68A_BANKTOE,"Nichols, Whipple, Laird 2014",3011_3010_stk10
641157.690,4237800.325,2.688,XS68A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3011_3010_stk11
641158.613,4237801.553,3.481,XS68A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3011_3010_stk12
641159.548,4237802.356,4.058,XS68A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3011_3010_stk13
641160.478,4237803.672,4.7,XS68A_BANKTOP,"Nichols, Whipple, Laird 2014",3011_3010_stk14
641176.440,4237765.808,5.106,XS73A_BANKTOP,"Nichols, Whipple, Laird 2014",3013_3012_stk
641175.473,4237766.245,4.471,XS73A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3013_3012_stk1
641172.620,4237768.028,3.636,XS73A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3013_3012_stk2
641170.737,4237769.243,2.641,XS73A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3013_3012_stk3
641168.699,4237770.404,1.781,XS73A_BANKTOE,"Nichols, Whipple, Laird 2014",3013_3012_stk4
641167.881,4237770.954,1.59,XS73A_BED,"Nichols, Whipple, Laird 2014",3013_3012_stk5
641166.428,4237771.820,1.355,XS73A_BED,"Nichols, Whipple, Laird 2014",3013_3012_stk6
641164.738,4237772.718,0.954,XS73A_BED,"Nichols, Whipple, Laird 2014",3013_3012_stk7
641163.455,4237773.639,0.94,XS73A_BED,"Nichols, Whipple, Laird 2014",3013_3012_stk8
641161.992,4237774.587,0.878,XS73A_BED,"Nichols, Whipple, Laird 2014",3013_3012_stk9
641160.465,4237775.396,0.987,XS73A_BED,"Nichols, Whipple, Laird 2014",3013_3012_stk10
641159.243,4237776.112,1.203,XS73A_BED,"Nichols, Whipple, Laird 2014",3013_3012_stk11
641157.858,4237776.997,1.529,XS73A_BED,"Nichols, Whipple, Laird 2014",3013_3012_stk12
641156.502,4237777.863,1.651,XS73A_BANKTOE,"Nichols, Whipple, Laird 2014",3013_3012_stk13
641153.800,4237780.429,5.002,XS73A_BANKTOP,"Nichols, Whipple, Laird 2014",3013_3012_stk14
641297.358,4237838.974,4.318,XS66A_BANKTOP,"Nichols, Whipple, Laird 2014",3015_3014_stk
641296.577,4237840.741,3.549,XS66A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3015_3014_stk1
641295.887,4237842.348,2.826,XS66A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3015_3014_stk2
641295.545,4237843.326,2.244,XS66A_BANKTOE,"Nichols, Whipple, Laird 2014",3015_3014_stk3
641294.720,4237844.900,1.819,XS66A_BED,"Nichols, Whipple, Laird 2014",3015_3014_stk4
641293.963,4237846.623,1.539,XS66A_BED,"Nichols, Whipple, Laird 2014",3015_3014_stk5
641293.162,4237848.637,1.445,XS66A_BED,"Nichols, Whipple, Laird 2014",3015_3014_stk6
641292.173,4237850.847,1.488,XS66A_BED,"Nichols, Whipple, Laird 2014",3015_3014_stk7
641291.167,4237853.100,1.424,XS66A_BED,"Nichols, Whipple, Laird 2014",3015_3014_stk8
641290.287,4237855.002,1.645,XS66A_BED,"Nichols, Whipple, Laird 2014",3015_3014_stk9
641289.117,4237857.506,1.654,XS66A_BED,"Nichols, Whipple, Laird 2014",3015_3014_stk10
641288.408,4237859.310,1.612,XS66A_BANKTOE,"Nichols, Whipple, Laird 2014",3015_3014_stk11
641287.875,4237860.277,2.257,XS66A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3015_3014_stk12
641287.049,4237862.050,3.442,XS66A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3015_3014_stk13
641286.020,4237864.486,5.069,XS66A_BANKTOP,"Nichols, Whipple, Laird 2014",3015_3014_stk14
641480.665,4238077.526,5.056,XS63A_BANKTOP,"Nichols, Whipple, Laird 2014",3017_3016_stk
641479.955,4238077.893,4.623,XS63A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3017_3016_stk1
641479.144,4238078.593,4.022,XS63A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3017_3016_stk2
641478.333,4238078.935,3.151,XS63A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3017_3016_stk3
641477.180,4238079.812,1.992,XS63A_BANKTOE,"Nichols, Whipple, Laird 2014",3017_3016_stk4
641476.339,4238080.476,1.702,XS63A_BED,"Nichols, Whipple, Laird 2014",3017_3016_stk5
641474.767,4238081.536,1.58,XS63A_BED,"Nichols, Whipple, Laird 2014",3017_3016_stk6
641472.391,4238083.142,1.305,XS63A_BED,"Nichols, Whipple, Laird 2014",3017_3016_stk7
641470.749,4238084.336,1.168,XS63A_BED,"Nichols, Whipple, Laird 2014",3017_3016_stk8
641469.358,4238085.294,0.879,XS63A_BED,"Nichols, Whipple, Laird 2014",3017_3016_stk9
641468.459,4238085.867,0.913,XS63A_BED,"Nichols, Whipple, Laird 2014",3017_3016_stk10
641467.819,4238086.267,1.153,XS63A_BED,"Nichols, Whipple, Laird 2014",3017_3016_stk11
641467.051,4238086.812,1.703,XS63A_BED,"Nichols, Whipple, Laird 2014",3017_3016_stk12
641465.801,4238087.753,1.944,XS63A_BANKTOE,"Nichols, Whipple, Laird 2014",3017_3016_stk13
641464.049,4238088.810,3.682,XS63A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3017_3016_stk14
641463.090,4238089.509,4.997,XS63A_BANKTOP,"Nichols, Whipple, Laird 2014",3017_3016_stk15
641462.390,4238089.976,5.106,XS63A_BANK,"Nichols, Whipple, Laird 2014",3017_3016_stk16
641637.958,4238181.405,5.656,XS61A_BANK,"Nichols, Whipple, Laird 2014",3019_3018_stk
641637.806,4238181.777,5.564,XS61A_BANKTOP,"Nichols, Whipple, Laird 2014",3019_3018_stk1
641637.469,4238182.976,4.431,XS61A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3019_3018_stk2
641637.070,4238184.281,3.471,XS61A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3019_3018_stk3
641636.696,4238185.888,2.147,XS61A_BANKTOE,"Nichols, Whipple, Laird 2014",3019_3018_stk4
641636.171,4238187.765,2.136,XS61A_BED,"Nichols, Whipple, Laird 2014",3019_3018_stk5
641635.833,4238188.915,1.956,XS61A_BED,"Nichols, Whipple, Laird 2014",3019_3018_stk6
641635.440,4238190.304,1.971,XS61A_BED,"Nichols, Whipple, Laird 2014",3019_3018_stk7
641634.857,4238191.898,1.932,XS61A_BED,"Nichols, Whipple, Laird 2014",3019_3018_stk8
641634.432,4238193.587,1.803,XS61A_BED,"Nichols, Whipple, Laird 2014",3019_3018_stk9
641633.946,4238195.067,1.941,XS61A_BANKTOE,"Nichols, Whipple, Laird 2014",3019_3018_stk10
641633.693,4238196.258,2.656,XS61A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3019_3018_stk11
641633.293,4238197.602,3.856,XS61A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3019_3018_stk12
641632.844,4238199.061,5.223,XS61A_BANKTOP,"Nichols, Whipple, Laird 2014",3019_3018_stk13
641632.738,4238199.500,5.183,XS61A_BANK,"Nichols, Whipple, Laird 2014",3019_3018_stk14
641554.268,4238326.181,5.162,XS78A_BANKTOP,"Nichols, Whipple, Laird 2014",3021_3020_stk
641552.919,4238325.355,3.94,XS78A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3021_3020_stk1
641550.262,4238324.137,2.383,XS78A_BANKTOE,"Nichols, Whipple, Laird 2014",3021_3020_stk2
641547.132,4238322.441,2.053,XS78A_BED,"Nichols, Whipple, Laird 2014",3021_3020_stk3
641544.600,4238321.123,1.823,XS78A_BED,"Nichols, Whipple, Laird 2014",3021_3020_stk4
641542.108,4238319.830,1.821,XS78A_BANKTOE,"Nichols, Whipple, Laird 2014",3021_3020_stk5
641539.778,4238318.639,3.699,XS78A_BANKSLOPE,"Nichols, Whipple, Laird 2014",3021_3020_stk6
641537.778,4238317.638,5.548,XS78A_BANKTOP,"Nichols, Whipple, Laird 2014",3021_3020_stk7
641537.367,4238317.432,5.707,XS78A_BANK,"Nichols, Whipple, Laird 2014",3021_3020_stk8
